"recipe_id","recipe_name","recipe_desc","views","recommand","scrap","cooking_serving","level","cooking_time"
55,소세지캐비지롤,다진 고기로 만드는 롤캐비지의 간단한 버젼으로 비엔나소세지 롤캐비지를 소개합니다.,6545,4,58,6,2,30
56,전복회,싱싱할때 전복을 회를 먹으니 오돌오돌하니 일품이더라구요~~꼭 복날에 먹는것보다 특별한 손님이 오신다면 이렇게 싱싱한 전복을 사다가 손님상에 내놓으면 정말 좋아하실거 같아요~,13050,5,28,3,2,30
57,돼지갈비찜,청양고추를 넣어 매콤하면서 달달한 돼지갈비찜~~,43350,28,523,4,4,120
58,고등어조림,우리나라 사람 치고 생선 좋아하는 사람들 중에서 고등어무조림을 좋아하지 않는 사람이 있을까요? 해 먹을 것이 딱히 없어서 자주 해서 먹어도 질리지 않는 반찬이 바로 고등어조림인것 같아요. 집에 있는 무랑 그리고 냉동실에 있던 고등어를 이용해서 조림을 만들어 보았어요. 고등어 무조림은 언제 먹어도 맛있는것 같아요.,95663,35,316,4,2,60
59,미트볼,정말 만들기도 간단하구 재료도 착하구  홈메이드로 직접 집에서 미트볼을 만들어보세용.,7829,3,144,2,2,30
60,부추잡채,초대요리로도 좋고  밥반찬으로도 손색없는 부추잡채를 준비했어요. 굴소스의 달짝지근한 맛과 돼지고기  부추가 아주 잘 어울리는 부추잡채랍니다.,54730,24,463,4,2,30
61,미트볼,햄버거패티와 미트볼은 한번에 여러개 만들어 놓고 냉동실에 넣어두면 요리에 활용도가 높으니 참 좋은것 같아요. ,41658,4,313,6,2,30
62,닭갈비,다양한 재료가 들어가 맛있는 닭갈비입니다.,42606,19,181,3,3,60
63,허브참치구이,다양한 허브를 참치에 발라 향이 가득베인 허브참치구이입니다. 집에서 간단히 만드는 양식요리 어떠세요?,7401,3,11,4,2,60
64,닭케첩볶음,허브의 향이 느껴지면서  양파 때문에 때론 달달한 맛이  고추장 때문에 때론 약간의 매운맛이 나는  오묘한 맛의 맛난 닭볶음입니다.,3884,2,18,3,2,60
65,안동찜닭,부드러운 닭고기와 매콤달콤한 양념이 들어간 안동찜닭입니다.,9965,8,36,4,2,60
66,닭강정,전 닭강정하면 추억의 맛이 떠올라요~ 여러분들두 닭강정의 대한 추억이 있으신가요? 그렇담 저와 함께 그 추억을 되살려보아요~ 없으신 분들은 오늘! 추억을 만드시면 되겠솨와용~ 히힛,69547,26,3451,2,2,30
67,깐풍더덕,오늘은 더덕으로 깐풍더덕을 만들어 보았어요. 깐풍소스는 새콤달콤하기 때문에 기름에 바삭하게 튀긴 더덕을 양념에 버무리니 일품요리같아요.,2725,5,25,3,3,60
68,전어회무침,가을을 정점으로 제대로된 맛을 내는 생선이 있지요~ 집나간 며느리도 불러들인다는 전어~!! 가을전어를 찬양하는 속담만도 여러개가 있어요~ 사철 잡히는 생선임에도 유독 가을전어에 집착하는 데는 이유가 있답니다. 가을전어는 다른계절에 비해 지방함량이 세배나 높아 깨가 서말이나 나온다는 전어의 고소함의 비밀이랍니다~ 전어구이가 깨가 서말이면 전어회는 깨가 다섯말이라는 말도 있답니다~ 몇일전 나오미님께서 보내주신 전어  그날저녁 회랑 회무침으로 너무나 맛있게 먹었고 주말엔 벌초다녀오느라고 시댁에서 보내는 바람에 전어구이는 손질해서 잘 보관해놓았답니다~ 조만간 고소한 전어구이도 해먹을거에요~ 깨가 다섯말인 전어회랑 전어회무침을 만들어볼까요.,16747,6,49,4,2,30
69,돼지갈비,보통의 간장 양념을 먹는 갈비가 지루하다면 얼얼하게 맵게 먹자! 매운맛 돼지갈비~,31842,20,421,4,4,120
70,잡채,명절요리의 스테디셀러 잡채를 만들어보았어요.,18081,14,64,5,2,60
71,전어구이,가을의 전어는 깨가 서말이요  전어 굽는 냄새에 집나간 며느리도 돌아온다는 설이 있을 정도로 가을엔 전어가 진미이죠~ 아빠께서 싱싱한 살아있는 전어를 사오셔서 직접 다듬어 주셔서 맛있게 전어를 구워 봤어요~,11870,5,7,2,2,30
72,크림치즈스프링롤,크림치즈가 들어가 더욱 고소한 영양간식 크림치즈 스피링롤!,5156,4,102,4,3,60
73,소라초무침,바다내음 물씬 나는 소라초무침입니다.,17638,7,179,2,2,15
74,다시마야채쌈,건강에 좋은 다시마와 채소를 듬뿍넣은 건강한입요리 다시마쌈입니다.,18607,15,406,2,2,30
75,고등어양념구이,양념장을 만들어 바른 고등어양념구이입니다. 그냥 먹어도 맛있는 고등어구이지만 양념을 해서 발라 더욱 감칠맛이 뛰어나답니다. 매콤하면서도 짭짜름해 밑반찬으로 딱이예요.,28600,13,529,2,2,60
76,고추장돼지불고기,맛있게 입에 짝짝 붙게 매콤한 고추장 돼지불고기 입니다. 고추기름을 약간 두르고 볶았더니 일반 기름에 볶았을때보다 또 다른 맛이 나네요.,11735,4,50,3,2,120
77,떡갈비찜,압력 밥솥에 갈비찜을 만들었더니 갈비는 부드럽고 밤을 달짝지근 떡은 쫀득하니 너무 맛있는 갈비찜입니다.,6306,2,32,6,2,120
78,새우구이,날치알이 톡톡터지는 씹히는 맛이 일품인 고소한 새우구이입니다.,11385,6,163,2,2,30
79,불고기,부드러운 육질과 달달한 양념이 만난 언제먹어도 맛있는 불고기입니다.,7824,5,31,6,2,30
80,닭봉콜라조림,튀기지 않아서 칼로리도 낮고 만들기 간편한 닭봉 콜라조림입니다. 쫀득쫀득하고 짭쪼름하고 달달하고 고소해서 간식이나 밥반찬으로 좋은 닭봉 조림은 손에들고 뜯어 먹기도 편해서 운동회나 소풍갈때 만들어 도시락에 싸주면 좋을것 같아요.,24108,17,672,3,2,60
81,돼지고기굴소스볶음,그냥 간장으로 조리하는 것보다 훨씬 맛깔스러운 굴소스 돼지고기 볶음이랍니다.,17133,2,52,2,2,60
82,양장피,흔히 중국요리 시켜먹을 때  탕슉과 팔보채..양장피를 주로 잘 시켜먹잖아요. 매콤한 겨자향이 입맛을 돋우고  각종 야채와 해물들로 영양 만점이지요. 그런데  손이 참 많이 가네요. 재료를 일일이 채썰고 장식하고  볶고 그래야하거든요. 그래두 시키는것보다 훨씬 저렴한 가격으로 먹을 수 있어서 좋아요.,100172,29,379,4,3,60
83,닭갈비,양파도 좀 넣고 없는재료 다른 재료로 대체 해서 만들어본 닭갈비입니다.,8082,13,58,5,3,120
84,고추장불고기,아삭한 채썬 대파를 곁들어 먹는 매콤하고 부드러운 고추장불고기입니다.,13751,11,113,3,2,120
85,야채두부,두부에 녹말가루를 묻혀 튀기듯 구워서 야채볶음소스를 위에 얹어보았어요.,5008,7,74,4,2,15
86,생선커틀릿,냠냠냠. 바삭하고 맛있는 생선커틀릿입니당. 역시 생선튀김은 타르타르소스가 진리랍니다.,6220,7,62,4,3,60
87,녹두빈대떡,비가 올 때 생각나는 고소한 녹두빈대떡입니다.,19364,9,45,4,3,120
88,잡채,백반집이나 식당 등 반찬으로 나오는 고기도 안 들어가고 단백질도 전혀 들어가지 않은... 채소쪼가리 몇개만 넣고 당면만 주가 되서 나오는 썰렁한 잡채 어쩌다가 먹게되면 왜 그리 맛있는지 집에서도 써~~얼렁한 잡채를 만들어 볼게요. 당면과 야채쪼가리만 있으면 되는 반찬이 되는 요리입니다.,84823,23,198,3,2,30
89,참치,달달하고 부드러운 양파케익과 담백한 참치가 곁들여진 색다른 요리입니다.,3363,3,14,4,3,60
90,오코노미야키,일본식 부침개 오코노미야키를 만들어 보았어요. 쫄깃쫄깃 오징어와 짭쪼름한 베이컨  탱글탱글 새우가 듬뿍 아삭아삭 양배추도 맛있구요. 오코노미 분말에 산마분말  새우  오징어  가다랭이분말  뎅까쯔  생강분말등이 들어있어서 정말 제대로 오코노미야끼맛이 나요.,15902,11,106,4,2,30
91,쭈꾸미삼겹살,쫄깃한 쭈꾸미와 부드러운 돼지고기가 만난 매콤한 쭈꾸미 삼겹살 주물럭입니다. ,41807,15,218,4,2,60
92,닭다리튀김,올만에 치킨을 묵었답니당. 좋은 기름과 좋은 재료들로 집에서 안전하게 맛난 후라이드 치킨을 만들어 보세요~,15919,11,112,3,2,60
93,과일누룽지탕수육,고소하고 바삭한 과일누룽지 탕수육  생일상차림에도 환영받을만한 메뉴입니다. 강추해요.,19348,13,213,3,2,30
94,묵은지고등어조림,고등어를 사와서 묵은지 넣고 푹 조려서 먹었답니다. 그랬더니 없던 입맛에 바로 돌아오는거 있죠? 역시 한국인은 밥힘.,62960,13,667,4,2,60
95,고구마돼지갈비찜,흑돼지갈비에다 고구마를 넣고 맛있는 돼지갈비찜을 만들었어요~,4367,4,21,4,2,60
96,달걀돈까스,요래 만들어서 아들뇨석들 간식 해결했더니.. 얼마나들 좋아하며 잘들 먹는지.. 든든한 영양간식~달걀돈까스 만들어볼게요~,7457,7,74,1,2,30
225,소세지만두볶음,고추장을 넣어 만든 소세지만두볶음입니다.,14253,13,150,2,2,30
557,뚝배기불고기,뜨끈하고 푸짐한 한끼 뚝배기 불고기 만들기입니다.,6669,13,86,2,1,30
97,돼지고기보쌈,갓 만들어서 깔끔하고 시원한 배추김치에 부드럽고 야들야들한 고기를 싸서 묵으니 굿 배추김치에 고소한 통깨를 솔솔 뿌려서 먹음 더 맛있겠죵? 이 배추김치는 젓갈이 많이 들어가지 않아서 굉장히 깔끔하고 시원하답니다. 젓갈이 많이 들어가는 김치는 바로 갓 담근건 정말 맛있어요.,20445,16,292,6,3,120
98,순대볶음,그리 매콤하지도 않아 울 아이들도 맛나게 잘 먹어주었답니다. 혹  어른들만 드실경우 청양고추를 넣고 함 볶아보세요~ 아주 매콤한것이 맛이 제대로랍니다.,15514,11,156,4,1,30
99,마늘종불고기,부드러운 소고기와 아삭한 마늘종이 만나 식감도 재밌는 쇠고기 마늘종 불고기입니다.,3194,2,41,2,2,60
100,통삼겹구이,김장철에 보쌈으로 해먹어도 좋고  그냥 쌈싸먹어도 좋은 통삼겹살구이인데요. 오븐으로 구워서 정말 기름부분도 쫀득한게 넘 맛있었어요. 기름기는 빠지고 육즙은 그대로랍니다.,13125,7,93,4,3,120
101,쇠고기굴소스볶음,장조림을 할려고 밑간해두었던 쇠고기를 꺼내 후다닥 볶아 쇠고기굴소스볶음을 준비했답니다.,6138,2,72,2,2,30
102,콩나물미더덕찜,미더덕향이 향긋한 콩나물  매콤하니 먹을만해요. ,119473,43,1257,4,2,60
103,파인애플스프링롤,여러 사람이 넉넉하게 먹을 수 있고  또 모두가 만족해 하는 스프링롤  이게 은근히 중독성이 있어서 한번씩 생각이 나주는 맛이랍니다. 집들이나 집안 행사때 맛있고 폼도 나고~~~ 많이들 만들어 드셔 보세요.,76926,48,839,6,2,30
104,토마토소스홍합찜,마늘 요리로 유명한 뭐~~레스토랑에 가면 있는 메뉴죠. 가끔 제 돈 주고 사먹으면 너무 비싸서 ㅎㅎ 이리저리 회식 자리에 낑겨서 얻어 먹던 메뉴입니다. 늘 홍합은 그냥 삶아서만 먹고  탕으로만 끓여서 먹었는데 이렇게 먹으니깐  정말 색다른 맛이더라고요. 집에서 값싼 홍합으로~~ 멋지고 근사한 외식요리를 한번 만들어 보자고요~,24032,21,449,3,2,60
105,떡갈비,떡에 다진 쇠고기를 말아 만든 떡갈비를 올려봅니다. 그냥 포장된 떡볶이 떡 말고 마트에도 떡만 파는 쪽에 있는 떡을 샀더니 쫀득거리면서 맛있드라고요. 겉은 구워져서 바삭하면서 속은 쫀득~ 고기에 양념 적당히 베여서 맛이 좋았어요.,5575,7,25,2,2,30
106,어묵잡채,매콤한 두반장어묵잡채입니다. 그냥 고춧가루를 넣은 것과는 다른 두반장 특유의 향이 괜찮더라구요.,3492,2,29,5,2,60
107,프라이드치킨,주말에 온가족이 입이 궁금해 하길래 냉동실에 얼려 두었던 닭가슴살을 꺼내서 프라이드 치킨을 만들었어요. 파삭한 프라이드 치킨도 맛있었지만 유자양념에 버무려준 양념치킨이 정말 맛있었답니다. 유자양념 치킨은 향긋한 유자를 다져넣고 소스를 만들어서 치킨을 먹고 나서도 입안이 개운해지더군요.,7563,7,88,3,3,30
108,로스트치킨,크리스마스를 기다리며 만든 간장양념 로스트 치킨입니다.,10475,4,75,3,2,90
109,닭안심구이,만들기 간단하고 맛있는 치킨요리입니다.,8690,3,63,4,2,120
110,고추장돼지불고기,피자치즈가 쭉 늘어나는 치즈오븐 고추장 돼지 불고기입니다.,8306,7,71,3,2,30
111,오징어볶음,밥 반찬 딱히 할껏도 없고 막막할때 있으시죠?! 시간은 없고 좀 근사한 반찬 해먹고 싶을때 있으시죠?! 이럴때!! 오징어 한마리 준비해서 7분안에 끝나는 스피드 오징어 볶음 만들어보세요. 스피드해서 기분좋은 오징어 볶음이랍니다.,16549,17,310,3,2,10
112,오징어불고기,돼지고기도 역시 안심이 부들부들 하더라구요~~안심을 넣어서 오안불고기를 만들었어요~,13400,6,110,4,2,60
113,닭다리구이,부드러운 양념 닭다리구이입니다. 구워서 양념에 졸이면되는 간편한 요리랍니다~,9662,8,120,3,2,60
114,묵은지삼겹살롤,삼겹살롤안에 넣을 재료들이에요. 재료가 많아지면 롤이 뚱뚱해져서 한입에 넣기 힘들것 같아 재료는 간단하게 준비해봤어요.,13286,13,98,3,2,30
115,고구마롤돈까스,노오란 고구마를 품은~~ 고구마롤 돈까스 만들어볼게요,5637,16,24,1,2,30
116,치즈고구마돈까스,바삭 달콤함에 빠지다! 치즈 고구마 돈까스~,7305,17,64,4,3,30
117,닭봉조림,피부탱탱 콜라겐 가득 닭날개 & 닭봉 칠리소스 조림입니다.,8275,7,60,2,2,30
118,치즈미트볼,동글동글 미트 속에 치즈가 쏘옥 치즈 미트볼입니다.,4248,15,61,2,2,30
119,해물철판볶음,술안주 겸 저녁메뉴 매콤한 해물철판볶음입니다.,10841,16,84,2,2,30
120,교촌치킨,교촌치킨 다들 좋아하시죠? 그냥 간장소스로 만든 오리지날 교촌치킨도 맛있지만 레드시리즈로 살짝 빨간 교촌치킨도 맛나더라구용. 튀기지 않고 오븐에 구워서 담백하구요. 다욧트 하시는분들이라면 튀긴 치킨보단 굽는치킨을 권유합니당. 그럼 레드교촌치킨 만들어볼까용?,19363,16,320,2,3,60
121,삼겹살,삽겹살을 양념을 해서 가스레인지 그릴에 알맞게 구워 보았어요. 곁들이로는 간단하게 양파와 이번에 담은 김장김치랍니다.,6806,13,46,3,1,30
122,소갈비찜,촉촉하고 부드러운 소 갈비찜 입니다.,19911,9,119,5,2,90
123,깐쇼새우,새콤달콤 칠리소스가 일품인 깐쇼새우입니다.,10662,14,102,2,2,60
124,표고버섯돼지갈비찜,든든한 밥반찬 돼지갈비찜입니다.,17392,15,53,2,2,60
125,고추잡채,매콤한 고추잡채와 꽃빵 입니다.,37153,29,358,2,2,30
126,자반고등어찜,사실 그냥 담백하게 고등어만 쪄서 먹어도 맛있어요. 소스를 곁들이면 더욱 촉촉하게 기름에 튀기거나 굽지 않고  담백하게 쪄서 먹는 고등어찜이라서 더욱 맛있는것 같아요. 등푸른 생선은 늘 우리 상에 자주 올려야 하는 음식이니깐  조리법을 달리해서 자주 상에 올려 보세요~,14416,13,148,4,2,30
127,돼지고기고추장불고기,살짝 매콤하게 만든 돼지고기 고추장 불고기예요.,65405,23,394,4,2,120
128,대하콩나물찜,아삭한 굵은 콩나물과 향긋한 쑥갓을 넣어서 뻘겋게 찜을 했더니 정말 배부른 한끼가 되드라구요. 남은 양념엔 밥을 볶아먹어도 정말 맛있답니다. 밖에서 사먹는것 못지 않지요. 대하 대신 아귀를 넣으면 아귀찜이 되구요. 다른 해물류를 넣으시면 해물찜이 되지요.,18104,20,447,4,2,30
129,쇠고기당근감자말이,제철을 맞은 당근과 감자를 이용해서 말이를 만들어봤어요~ 새콤하면서도 달콤한 맛이 감도는 소스와 어울어지는 쇠고기  당근  감자의 맛이 참 좋아요. 특히 마늘향이 베어있어서 느끼한 맛도 덜하답니다. 특별한 날 손님상에 올릴 요리로도 좋고  아이들 간식으로도 그만이랍니다. 감자가 포만감을 주어 간식으로도 든든하고 좋아요.,10239,15,74,2,2,30
130,대구찜,담백 짭쪼름한 대구뚝배기찜입니다~!,6125,11,30,1,3,30
131,떡갈비,쫄깃한 떡과의 궁합 떡갈비입니다.,9325,20,157,2,2,30
132,떡갈비구이,다가올 설차례상이나 어르신들 생신상에 많이 올라가는 떡갈비~!! 소고기를 잘게 다지거나 갈아만들었기 때문에 부드러워서 이가 불편한 어르신들이 불고기보다도 더 좋아하시는 메뉴인것 같아요~ 한국을 말할때 가장 먼저 떠오르는것 중에 하나가 바로 떡과 갈비잖아요~ 떡갈비라고해서 떡이 꼭 들어가는건 아니지만 아뭏든 세계적으로 키울수있는 한국음식임에는 분명한것 같아요~한국인은 물론 외국인들도 아주 좋아하는 떡갈비~ 함께 만들어보아요~,13442,12,151,4,2,60
133,떡갈비,떡을 고기반죽 속에 쏘옥 숨겨 만들어봤어요. 만들고 남은 떡은 그냥 구웠더니 바삭하고 쫀득함스 맛있더라고요~~,8715,26,94,2,2,30
134,양미리조림,짭짤해서 밥과 함께 드시면 밥 한그릇 뚝딱. 밥도룩 양미리조림입니다.,44509,25,581,5,3,60
